"SAMPLE_ID","TISSUE_ID","REGO","VOUCHER","ALTERNATIVE_ID","GENUS","COLLECTOR_SP","UPDATED_SP","REGION","STATE","LOCATION","LAT","LON"
"SAMAR_26237_Ct_broo","ABTC53712","SAMAR26237","SAMAR_26237",NA,"Ctenotus","brooksi","brooksi","Australia","SA","10k N Lake Phillipson",-29.35833,134.4667
"SAMAR_45963_Ct_broo","ABTC58270","SAMAR45963","SAMAR_45963",NA,"Ctenotus","brooksi","brooksi","Australia","SA","25k NW Kunytjanu",-26.48778,129.1736
"NA_ABTC12607_Ct_broo","ABTC12607",NA,"no_voucher",NA,"Ctenotus","brooksi","cf. brooksi","Australia","NT","28k S Kings Creek HS",-24.66667,131.8333
"SAMAR_29939_Ct_broo","ABTC4259",NA,"SAMAR_29939",NA,"Ctenotus","brooksi","brooksi","Australia","NT","Curtin Springs",-25.5,131.8167
"SAMAR_56458_Ct_broo","ABTC79860","SAMAR56458","SAMAR_56458",NA,"Ctenotus","brooksi","brooksi","Australia","SA","6.1k W Mount Hoare",-27.05639,129.6389
"SAMAR_65908_Ct_broo","ABTC112657","SAMAR65908","SAMAR_65908",NA,"Ctenotus","brooksi","brooksi","Australia","NT","Rainbow Valley  11.7k E Mt Grevillea",-24.33389,133.6353
"CUMV_14410_Ct_broo","DLR0479","CU14410","CUMV_14410",NA,"Ctenotus","brooksi","brooksi","Australia","WA","Yamarna Stn, Western Australia",-28.133,123.8667
"CUMV_14409_Ct_broo","DLR0455","CU14409","CUMV_14409",NA,"Ctenotus","brooksi","brooksi","Australia","WA","Yamarna Stn, Western Australia",-28.133,123.8667
"NA_ABTC10487_Ct_broo","ABTC10487",NA,"no_voucher",NA,"Ctenotus","brooksi","cf. brooksi","Australia","WA","Officer Basin",-29.96667,123.7667
"CUMV_14412_Ct_broo","DLR0510","CU14412","CUMV_14412",NA,"Ctenotus","brooksi","brooksi","Australia","WA","Yamarna Stn, Western Australia",-28.133,123.8667
"CUMV_14411_Ct_broo","DLR0503","CU14411","CUMV_14411","BROODLR0503","Ctenotus","brooksi","brooksi","Australia","WA","Yamarna Stn, Western Australia",-28.133,123.8667
"WAMR_146582_Ct_rubi","WAM_R146582","WAM146582","WAMR_146582","RUBIW146582","Ctenotus","rubicundus","rubicundus","Australia","WA","BURRUP PENINSULA",-20.583,116.805833
"CUMV_14576_Ct_pant","DLR0372","CU14576","CUMV_14576","PANTDLR0372","Ctenotus","pantherinus","pantherinus","Australia","WA","Lake Mason Stn, Western Australia",-27.586,119.5208
"WAMR_153984_Ct_pant","WAM_R153984","WAM153984","WAMR_153984","PANTW153984","Ctenotus","pantherinus","pantherinus","Australia","WA","BINDOON",-31.325,116.313611
"WAMR_112518_Ct_pant","WAM_R112518","WAM112518","WAMR_112518","PANTW112518","Ctenotus","pantherinus","pantherinus","Australia","WA","PAYNES FIND",-29.287,117.626389
"WAMR_129863_Ct_pant","WAM_R129863","WAM129863","WAMR_129863","PANTW129863","Ctenotus","pantherinus","pantherinus","Australia","WA","PINDAR",-28.533,115.616667
"WAMR_134166_Ct_pant","WAM_R134166","WAM134166","WAMR_134166","PANTW134166","Ctenotus","pantherinus","pantherinus","Australia","WA","HYDEN",-31.413,117.754444
"NA_PMO179_Ct_pant","PMO179",NA,"no_voucher",NA,"Ctenotus","pantherinus","cf. pantherinus","Australia","WA","Near Wire Springs",-17.701166,125.14022
"SAMR_55674_Ct_pant","ABTC76992","SAM55674","SAMR_55674","PANTA76992","Ctenotus","pantherinus","pantherinus","Australia","QLD","60K S Torrens Ck on Torrens Ck-Aramac Rd",-21.346,145.05
"SAMR_54432_Ct_pant","ABTC72837","SAM54432","SAMR_54432","PANTA72837","Ctenotus","pantherinus","pantherinus","Australia","QLD","21k S Burke & Wills RH",-19.395,140.236667
"SAMR_49197_Ct_pant","ABTC14057","SAM49197","SAMR_49197","PANTA14057","Ctenotus","pantherinus","pantherinus","Australia","SA","30k NE Wooltana HS SA",-30.185,139.598889
"SAMR_65403_Ct_pant","ABTC113835","SAM65403","SAMR_65403",NA,"Ctenotus","pantherinus","pantherinus","Australia","QLD","17k W Noonbah Homestead",-24.10056,143.0178
"WAMR_139249_Ct_saxa","WAM_R139249","WAM139249","WAMR_139249","SAXAW139249","Ctenotus","saxatilis","cf. pantherinus","Australia","WA","MEENTHEENA",-21.287,120.459444
"WAMR_125012_Ct_pant","WAM_R125012","WAM125012","WAMR_125012","PANTW125012","Ctenotus","pantherinus","pantherinus","Australia","WA","YANDICOOGINA",-22.732,119.028611
"WAMR_108591_Ct_pant","WAM_R108591","WAM108591","WAMR_108591",NA,"Ctenotus","pantherinus","pantherinus","Australia","WA","PANNAWONICA",-21.817,116.233333
"WAMR_135379_Ct_pant","WAM_R135379","WAM135379","WAMR_135379",NA,"Ctenotus","pantherinus","pantherinus","Australia","WA","MT BROCKMAN STATION",-22.419,117.425556
"WAMR_104950_Ct_pant","WAM_R104950","WAM104950","WAMR_104950",NA,"Ctenotus","pantherinus","pantherinus","Australia","WA","WOODSTOCK STATION",-21.609,118.987778
"WAMR_145526_Ct_pant","WAM_R145526","WAM145526","WAMR_145526",NA,"Ctenotus","pantherinus","pantherinus","Australia","WA","PORT HEDLAND",-21.06,118.75
"WAMR_132520_Ct_pant","WAM_R132520","WAM132520","WAMR_132520","PANTW132520","Ctenotus","pantherinus","pantherinus","Australia","WA","BURRUP PENINSULA",-20.677,116.752222
"WAMR_158463_Ct_pant","WAM_R158463","WAM158463","WAMR_158463","PANTW158463","Ctenotus","pantherinus","pantherinus","Australia","WA","GIRALIA",-22.653,114.188056
"WAMR_129335_Ct_pant","WAM_R129335","WAM129335","WAMR_129335","PANTW129335","Ctenotus","pantherinus","pantherinus","Australia","WA","GRIFFIN",-21.683,114.816667
"UMMZ_242643_Ct_pant","UMFS_20666",NA,"UMMZ_242643",NA,"Ctenotus","pantherinus","pantherinus","Australia","WA","Hamelin Station",-26.4725,114.25648
"UMMZ_242642_Ct_pant","UMFS_20657",NA,"UMMZ_242642",NA,"Ctenotus","pantherinus","pantherinus","Australia","WA","Hamelin Station",-26.4743,114.25961
"SAMR_45310_Ct_pant","ABTC58148","SAM45310","SAMR_45310",NA,"Ctenotus","pantherinus","pantherinus","Australia","SA","1k NW Waroona Peak",-32.243,135.133333
"SAMR_45528_Ct_pant","ABTC35092","SAM45528","SAMR_45528",NA,"Ctenotus","pantherinus","pantherinus","Australia","SA","17k NNE Inila Rockwater",-31.624,133.451389
"CUMV_14518_Ct_pant","DLR0523","CU14518","CUMV_14518",NA,"Ctenotus","pantherinus","pantherinus","Australia","WA","Yamarna Stn, Western Australia",-28.133,123.8667
"CUMV_14509_Ct_pant","DLR0298","CU14509","CUMV_14509","PANTDLR0298","Ctenotus","pantherinus","pantherinus","Australia","WA","Yamarna Stn, Western Australia",-28.133,123.8667
"CUMV_14569_Ct_pant","DLR0096","CU14569","CUMV_14569",NA,"Ctenotus","pantherinus","pantherinus","Australia","WA","Lorna Glen Stn, Western Australia",-26.226,121.5575
"SAMR_44860_Ct_pant","ABTC41627","SAM44860","SAMR_44860","PANTA41627","Ctenotus","pantherinus","pantherinus","Australia","SA","8k NE Mt Woodroffe",-26.286,131.805556
"CUMV_14563_Ct_pant","DLR0156","CU14563","CUMV_14563",NA,"Ctenotus","pantherinus","pantherinus","Australia","WA","Lorna Glen Stn, Western Australia",-26.226,121.5575
"CUMV_14567_Ct_pant","DLR0094","CU14567","CUMV_14567",NA,"Ctenotus","pantherinus","pantherinus","Australia","WA","Lorna Glen Stn, Western Australia",-26.226,121.5575
