"ID","cluster_1","cluster_2","cluster_3","cluster_4","cluster_5","cluster_6","cluster_7","cluster_8","cluster_9","cluster_10","cluster_11","cluster_12","cluster_assign","coeff","TISSUE_ID","REGO","VOUCHER","ALTERNATIVE_ID","GENUS","SPECIES","UPDATED_SP","REGION","LOCATION","STATE","LAT","LON","VoucherNotes"
"SAMAR_43599_Ct_olym",9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,0.998901,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,"cluster_7",0.998901,"ABTC57824","SAMAR43599","SAMAR_43599",NA,"Ctenotus","olympicus","olympicus","Australia","3k S Skylark Dam  Mount Eba Station","SA",-29.55,135.2833,NA
"SAMAR_43880_Ct_leae",9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,0.998901,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,"cluster_8",0.998901,"ABTC22305",NA,"SAMAR_43880",NA,"Ctenotus","leae","leae","Australia","10.5k SSE Koonchera Waterhole","SA",-26.76167,139.53,NA
"SAMAR_44654_Ct_olym",9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,0.998901,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,"cluster_7",0.998901,"ABTC57926","SAMAR44654","SAMAR_44654",NA,"Ctenotus","olympicus","olympicus","Australia","N side Arckaringa Creek","SA",-27.75,134.6222,NA
"SAMAR_45620_Ct_olym",9.99038e-05,9.99038e-05,9.99038e-05,9.99038e-05,9.99038e-05,9.99038e-05,0.998901,9.99038e-05,9.99038e-05,9.99038e-05,9.99038e-05,9.99038e-05,"cluster_7",0.998901,"ABTC58228","SAMAR45620","SAMAR_45620",NA,"Ctenotus","olympicus","olympicus","Australia","Dulkaninna Station","SA",-29.06667,138.4833,NA
"SAMAR_45966_Ct_leae",9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,0.998901,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,"cluster_8",0.998901,"ABTC58273","SAMAR45966","SAMAR_45966",NA,"Ctenotus","leae","leae","Australia","25k NW Kunytjanu","SA",-26.48778,129.1736,NA
"SAMAR_46332_Ct_leae",9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,0.998901,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,"cluster_8",0.998901,"ABTC35758","SAMAR46332","SAMAR_46332",NA,"Ctenotus","leae","leae","Australia","5.4k S Sheep Camp WH","SA",-29.78417,136.9228,NA
"SAMAR_48098_Ct_regi",9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,0.998901,9.99034e-05,9.99034e-05,"cluster_10",0.998901,"ABTC58489","SAMAR48098","SAMAR_48098",NA,"Ctenotus","regius","regius","Australia","5k S Quinyambie Station","SA",-30.25778,140.9864,NA
"SAMAR_49444_Ct_orie",9.99034e-05,0.998901,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,"cluster_2",0.998901,"ABTC37641","SAMAR49444","SAMAR_49444",NA,"Ctenotus","orientalis","orientalis","Australia","6.1k NE Russell Camp","SA",-36.49111,140.37,NA
"SAMAR_51242_Ct_regi",9.99037e-05,9.99037e-05,9.99037e-05,9.99037e-05,9.99037e-05,9.99037e-05,9.99037e-05,9.99037e-05,9.99037e-05,0.998901,9.99037e-05,9.99037e-05,"cluster_10",0.998901,"ABTC42316","SAMAR51242","SAMAR_51242",NA,"Ctenotus","regius","regius","Australia","9.4k SSW Granite Downs HS","SA",-27.02028,133.47,NA
"SAMAR_51421_Ct_regi",9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,0.998901,9.99034e-05,9.99034e-05,"cluster_10",0.998901,"ABTC38738","SAMAR51421","SAMAR_51421",NA,"Ctenotus","regius","regius","Australia","14.4k WNW Approdinna Attora Knolls","SA",-26.04806,137.4675,NA
