"ID","cluster_1","cluster_2","cluster_3","cluster_4","cluster_5","cluster_6","cluster_7","cluster_8","cluster_assign","coeff","TISSUE_ID","REGO","VOUCHER","ALTERNATIVE_ID","GENUS","SPECIES","UPDATED_SP","REGION","LOCATION","STATE","LAT","LON","VoucherNotes"
"SAMAR_55709_Ct_zebr",0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"cluster_1",0.9993,"ABTC77031","SAMAR55709","SAMAR_55709",NA,"Ctenotus","zebrilla","zebrilla","Australia","Kennedy Developmental Road turnoff to Porcupine Gorge","QLD",-20.38056,144.4222,NA
"SAMAR_55848_Ct_stra",0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"cluster_1",0.9993,"ABTC77169","SAMAR55848","SAMAR_55848",NA,"Ctenotus","strauchii","zebrilla","Australia","Breakneck Gully 45k NW Charters Towers","QLD",-19.8175,146.0314,NA
"SAMAR_56458_Ct_broo",9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"cluster_3",0.9993,"ABTC79860","SAMAR56458","SAMAR_56458",NA,"Ctenotus","brooksi","brooksi","Australia","6.1k W Mount Hoare","SA",-27.05639,129.6389,NA
"SAMAR_56672_Ct_broo",9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,"cluster_6",0.9993,"ABTC95959","SAMAR56672","SAMAR_56672",NA,"Ctenotus","brooksi","euclae","Australia","5.1k ENE Corrobinnie Hill","SA",-32.96417,135.7872,NA
"SAMAR_57213_Ct_calu",9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,"cluster_8",0.9993,"ABTC95336","SAMAR57213","SAMAR_57213",NA,"Ctenotus","calurus","calurus","Australia","23.9k E Vokes Hill Corner","SA",-28.57111,130.9253,NA
"SAMAR_58943_Ct_broo",9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"cluster_3",0.9993,"ABTC80716","SAMAR58943","SAMAR_58943",NA,"Ctenotus","brooksi","brooksi","Australia","57.6k WNW Oak Valley","SA",-29.08639,130.2689,NA
"SAMAR_59192_Ct_scho",9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,"cluster_7",0.9993,"ABTC93498","SAMAR59192","SAMAR_59192",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","11.2k NNW Mundoora","SA",-33.49333,138.0769,NA
"SAMAR_60340_Ct_scho",9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,"cluster_7",0.9993,"ABTC87763","SAMAR60340","SAMAR_60340",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","152.7k W Oak Valley","SA",-29.54111,129.1044,NA
"SAMAR_61390_Ct_eucl",9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,"cluster_6",0.9993,"ABTC89365","SAMAR61390","SAMAR_61390",NA,"Ctenotus","euclae","euclae","Australia","19.6k WSW Charra","SA",-32.14722,133.1417,NA
"SAMAR_62561_Ct_scho",9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,"cluster_7",0.9993,"ABTC96992","SAMAR62561","SAMAR_62561",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","26.4k SE Blowout Trig","SA",-29.87778,133.6169,NA
