ID,cluster,group
WAMR_129973_Ct_leon,leonhardii_gr_cluster_1,leonhardii_gr
WAMR_131785_Ct_leon,leonhardii_gr_cluster_1,leonhardii_gr
WAMR_139532_Ct_iape,leonhardii_gr_cluster_12,leonhardii_gr
WAMR_144639_Ct_leon,leonhardii_gr_cluster_1,leonhardii_gr
WAMR_166448_Ct_leon,leonhardii_gr_cluster_1,leonhardii_gr
AMSR_111496_Ct_essi,essingtonii_gr_cluster_4,essingtonii_gr
NA_CCM1971_Ct_vert,essingtonii_gr_cluster_5,essingtonii_gr
NA_CCM2279_Ct_essi,essingtonii_gr_cluster_3,essingtonii_gr
NA_CCM2281_Ct_cogg,essingtonii_gr_cluster_3,essingtonii_gr
NA_CCM2294_Ct_essi,essingtonii_gr_cluster_3,essingtonii_gr
NA_CCM2315_Ct_vert,essingtonii_gr_cluster_5,essingtonii_gr
NA_CCM2339_Ct_essi,essingtonii_gr_cluster_3,essingtonii_gr
NA_CCM2343_Ct_vert,essingtonii_gr_cluster_5,essingtonii_gr
NA_CCM2519_Ct_vert,essingtonii_gr_cluster_5,essingtonii_gr
NA_CCM2549_Ct_vert,essingtonii_gr_cluster_5,essingtonii_gr
NA_CCM2556_Ct_cogg,essingtonii_gr_cluster_3,essingtonii_gr
NA_CCM3915_Ct_vert,essingtonii_gr_cluster_5,essingtonii_gr
NA_CCM3982_Ct_essi,essingtonii_gr_cluster_1,essingtonii_gr
NA_CCM4853_Ct_essi,essingtonii_gr_cluster_2,essingtonii_gr
NA_CCM5043_Ct_essi,essingtonii_gr_cluster_4,essingtonii_gr
NA_CCM5044_Ct_essi,essingtonii_gr_cluster_4,essingtonii_gr
NA_CCM5466_Ct_vert,essingtonii_gr_cluster_5,essingtonii_gr
NA_CCM6122_Ct_essi,essingtonii_gr_cluster_2,essingtonii_gr
NA_CCM6150_Ct_essi,essingtonii_gr_cluster_2,essingtonii_gr
NA_K021_Ct_essi,essingtonii_gr_cluster_4,essingtonii_gr
NA_K073_Ct_essi,essingtonii_gr_cluster_4,essingtonii_gr
NA_NEB008_Ct_essi,essingtonii_gr_cluster_2,essingtonii_gr
NTMR_13717_Ct_essi,essingtonii_gr_cluster_4,essingtonii_gr
NTMR_16195_Ct_vert,essingtonii_gr_cluster_5,essingtonii_gr
NTMR_22188_Ct_essi,essingtonii_gr_cluster_2,essingtonii_gr
NTMR_22191_Ct_essi,essingtonii_gr_cluster_2,essingtonii_gr
SAMAR_34260_Ct_joan,essingtonii_gr_cluster_6,essingtonii_gr
SAMAR_36710_Ct_essi,essingtonii_gr_cluster_1,essingtonii_gr
SAMAR_43945_Ct_joan,essingtonii_gr_cluster_6,essingtonii_gr
SAMAR_54020_Ct_joan,essingtonii_gr_cluster_6,essingtonii_gr
SAMR_54024_Ct_joan,essingtonii_gr_cluster_6,essingtonii_gr
SAMR_55275_Ct_joan,essingtonii_gr_cluster_6,essingtonii_gr
CUMV_1450314572_Ct_pant,pantherinus_gr_cluster_4,pantherinus_gr
CUMV_14516_Ct_pant,pantherinus_gr_cluster_4,pantherinus_gr
